Thread-7--------ARGENTINA--------127.0.0.1
Hilo--->Thread-3Ubicacion cliente--->ARGENTINADireccion Ip del cliente--->127.0.0.1Fecha/hora de conexión--->2020-12-11 01:05:43.247152
---Hilo--->Thread-3---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-11 01:07:40.779697
---Hilo--->Thread-9---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-11 01:07:43.047559
---Hilo--->Thread-3---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-11 01:17:20.433476
---Hilo--->Thread-9---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-11 01:17:22.885059
---Hilo--->Thread-3---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-11 01:18:18.627064
---Hilo--->Thread-4---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 12:11:19.665217
---Hilo--->Thread-4---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:29:19.288906
---Hilo--->Thread-3---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:30:41.106873
---Hilo--->Thread-9---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:30:43.655597
---Hilo--->Thread-15---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:30:46.002070
---Hilo--->Thread-3---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:31:59.359485
---Hilo--->Thread-9---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:32:02.850273
---Hilo--->Thread-15---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:32:04.878157
---Hilo--->Thread-3---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:34:08.900208
---Hilo--->Thread-9---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:34:11.111011
---Hilo--->Thread-15---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:34:13.253506
---Hilo--->Thread-3---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:37:22.019138
---Hilo--->Thread-9---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:37:24.259700
---Hilo--->Thread-15---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:37:26.226795
---Hilo--->Thread-21---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:37:27.909074
---Hilo--->Thread-3---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:39:23.272214
---Hilo--->Thread-9---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:39:25.535477
---Hilo--->Thread-15---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 16:39:27.723739
---Hilo--->Thread-4---Ubicacion cliente--->ARGENTINA---Direccion Ip del cliente--->127.0.0.1---Fecha/hora de conexión--->2020-12-12 17:34:10.802529
